regions,Municipalitys,year,gender,numberOfPeople
BLEKINGE,KARLSHAMN,2010,Kvinna,93
BLEKINGE,KARLSHAMN,2010,Man,188
BLEKINGE,KARLSKRONA,2010,Kvinna,145
BLEKINGE,KARLSKRONA,2010,Man,316
BLEKINGE,OLOFSTROM,2010,Kvinna,32
BLEKINGE,OLOFSTROM,2010,Man,78
BLEKINGE,RONNEBY,2010,Kvinna,105
BLEKINGE,RONNEBY,2010,Man,213
BLEKINGE,SOLVESBORG,2010,Kvinna,58
BLEKINGE,SOLVESBORG,2010,Man,136
DALARNA,AVESTA,2010,Kvinna,95
DALARNA,AVESTA,2010,Man,192
DALARNA,BORLANGE,2010,Kvinna,190
DALARNA,BORLANGE,2010,Man,328
DALARNA,FALUN,2010,Kvinna,149
DALARNA,FALUN,2010,Man,287
DALARNA,GAGNEF,2010,Kvinna,30
DALARNA,GAGNEF,2010,Man,56
DALARNA,HEDEMORA,2010,Kvinna,64
DALARNA,HEDEMORA,2010,Man,92
DALARNA,LEKSAND,2010,Kvinna,41
DALARNA,LEKSAND,2010,Man,77
DALARNA,LUDVIKA,2010,Kvinna,102
DALARNA,LUDVIKA,2010,Man,215
DALARNA,MALUNG-SALEN,2010,Kvinna,21
DALARNA,MALUNG-SALEN,2010,Man,72
DALARNA,MORA,2010,Kvinna,49
DALARNA,MORA,2010,Man,116
DALARNA,ORSA,2010,Kvinna,13
DALARNA,ORSA,2010,Man,59
DALARNA,RATTVIK,2010,Kvinna,34
DALARNA,RATTVIK,2010,Man,70
DALARNA,SMEDJEBACKEN,2010,Kvinna,43
DALARNA,SMEDJEBACKEN,2010,Man,85
DALARNA,SATER,2010,Kvinna,32
DALARNA,SATER,2010,Man,70
DALARNA,VANSBRO,2010,Kvinna,22
DALARNA,VANSBRO,2010,Man,50
DALARNA,ALVDALEN,2010,Kvinna,26
DALARNA,ALVDALEN,2010,Man,59
GOTLAND,GOTLAND,2010,Kvinna,211
GOTLAND,GOTLAND,2010,Man,408
GAVLEBORG,BOLLNAS,2010,Kvinna,74
GAVLEBORG,BOLLNAS,2010,Man,199
GAVLEBORG,GAVLE,2010,Kvinna,276
GAVLEBORG,GAVLE,2010,Man,594
GAVLEBORG,HOFORS,2010,Kvinna,27
GAVLEBORG,HOFORS,2010,Man,67
GAVLEBORG,HUDIKSVALL,2010,Kvinna,153
GAVLEBORG,HUDIKSVALL,2010,Man,308
GAVLEBORG,LJUSDAL,2010,Kvinna,76
GAVLEBORG,LJUSDAL,2010,Man,148
GAVLEBORG,NORDANSTIG,2010,Kvinna,45
GAVLEBORG,NORDANSTIG,2010,Man,110
GAVLEBORG,OCKELBO,2010,Kvinna,26
GAVLEBORG,OCKELBO,2010,Man,54
GAVLEBORG,OVANAKER,2010,Kvinna,35
GAVLEBORG,OVANAKER,2010,Man,57
GAVLEBORG,SANDVIKEN,2010,Kvinna,149
GAVLEBORG,SANDVIKEN,2010,Man,260
GAVLEBORG,SODERHAMN,2010,Kvinna,123
GAVLEBORG,SODERHAMN,2010,Man,238
HALLAND,FALKENBERG,2010,Kvinna,109
HALLAND,FALKENBERG,2010,Man,183
HALLAND,HALMSTAD,2010,Kvinna,207
HALLAND,HALMSTAD,2010,Man,417
HALLAND,HYLTE,2010,Kvinna,26
HALLAND,HYLTE,2010,Man,59
HALLAND,KUNGSBACKA,2010,Kvinna,104
HALLAND,KUNGSBACKA,2010,Man,271
HALLAND,LAHOLM,2010,Kvinna,83
HALLAND,LAHOLM,2010,Man,169
HALLAND,VARBERG,2010,Kvinna,106
HALLAND,VARBERG,2010,Man,225
JAMTLAND,BERG,2010,Kvinna,23
JAMTLAND,BERG,2010,Man,69
JAMTLAND,BRACKE,2010,Kvinna,30
JAMTLAND,BRACKE,2010,Man,67
JAMTLAND,HARJEDALEN,2010,Kvinna,36
JAMTLAND,HARJEDALEN,2010,Man,94
JAMTLAND,KROKOM,2010,Kvinna,34
JAMTLAND,KROKOM,2010,Man,82
JAMTLAND,RAGUNDA,2010,Kvinna,22
JAMTLAND,RAGUNDA,2010,Man,53
JAMTLAND,STROMSUND,2010,Kvinna,45
JAMTLAND,STROMSUND,2010,Man,100
JAMTLAND,ARE,2010,Kvinna,33
JAMTLAND,ARE,2010,Man,83
JAMTLAND,OSTERSUND,2010,Kvinna,134
JAMTLAND,OSTERSUND,2010,Man,323
JONKOPING,ANEBY,2010,Kvinna,22
JONKOPING,ANEBY,2010,Man,54
JONKOPING,EKSJO,2010,Kvinna,60
JONKOPING,EKSJO,2010,Man,91
JONKOPING,GISLAVED,2010,Kvinna,64
JONKOPING,GISLAVED,2010,Man,164
JONKOPING,GNOSJO,2010,Kvinna,19
JONKOPING,GNOSJO,2010,Man,57
JONKOPING,HABO,2010,Kvinna,13
JONKOPING,HABO,2010,Man,36
JONKOPING,JONKOPING,2010,Kvinna,264
JONKOPING,JONKOPING,2010,Man,579
JONKOPING,MULLSJO,2010,Kvinna,28
JONKOPING,MULLSJO,2010,Man,57
JONKOPING,NASSJO,2010,Kvinna,88
JONKOPING,NASSJO,2010,Man,174
JONKOPING,SAVSJO,2010,Kvinna,27
JONKOPING,SAVSJO,2010,Man,54
JONKOPING,TRANAS,2010,Kvinna,61
JONKOPING,TRANAS,2010,Man,113
JONKOPING,VAGGERYD,2010,Kvinna,28
JONKOPING,VAGGERYD,2010,Man,65
JONKOPING,VETLANDA,2010,Kvinna,84
JONKOPING,VETLANDA,2010,Man,149
JONKOPING,VARNAMO,2010,Kvinna,58
JONKOPING,VARNAMO,2010,Man,136
KALMAR,BORGHOLM,2010,Kvinna,38
KALMAR,BORGHOLM,2010,Man,100
KALMAR,EMMABODA,2010,Kvinna,40
KALMAR,EMMABODA,2010,Man,61
KALMAR,HULTSFRED,2010,Kvinna,78
KALMAR,HULTSFRED,2010,Man,138
KALMAR,HOGSBY,2010,Kvinna,42
KALMAR,HOGSBY,2010,Man,65
KALMAR,KALMAR,2010,Kvinna,155
KALMAR,KALMAR,2010,Man,351
KALMAR,MONSTERAS,2010,Kvinna,50
KALMAR,MONSTERAS,2010,Man,86
KALMAR,MORBYLANGA,2010,Kvinna,31
KALMAR,MORBYLANGA,2010,Man,56
KALMAR,NYBRO,2010,Kvinna,68
KALMAR,NYBRO,2010,Man,134
KALMAR,OSKARSHAMN,2010,Kvinna,63
KALMAR,OSKARSHAMN,2010,Man,118
KALMAR,TORSAS,2010,Kvinna,29
KALMAR,TORSAS,2010,Man,61
KALMAR,VIMMERBY,2010,Kvinna,46
KALMAR,VIMMERBY,2010,Man,71
KALMAR,VASTERVIK,2010,Kvinna,111
KALMAR,VASTERVIK,2010,Man,291
KRONOBERG,ALVESTA,2010,Kvinna,49
KRONOBERG,ALVESTA,2010,Man,85
KRONOBERG,LESSEBO,2010,Kvinna,30
KRONOBERG,LESSEBO,2010,Man,48
KRONOBERG,LJUNGBY,2010,Kvinna,43
KRONOBERG,LJUNGBY,2010,Man,115
KRONOBERG,MARKARYD,2010,Kvinna,36
KRONOBERG,MARKARYD,2010,Man,69
KRONOBERG,TINGSRYD,2010,Kvinna,34
KRONOBERG,TINGSRYD,2010,Man,72
KRONOBERG,UPPVIDINGE,2010,Kvinna,21
KRONOBERG,UPPVIDINGE,2010,Man,61
KRONOBERG,VAXJO,2010,Kvinna,146
KRONOBERG,VAXJO,2010,Man,301
KRONOBERG,ALMHULT,2010,Kvinna,37
KRONOBERG,ALMHULT,2010,Man,60
NORRBOTTEN,ARJEPLOG,2010,Kvinna,5
NORRBOTTEN,ARJEPLOG,2010,Man,23
NORRBOTTEN,ARVIDSJAUR,2010,Kvinna,17
NORRBOTTEN,ARVIDSJAUR,2010,Man,36
NORRBOTTEN,BODEN,2010,Kvinna,111
NORRBOTTEN,BODEN,2010,Man,241
NORRBOTTEN,GALLIVARE,2010,Kvinna,72
NORRBOTTEN,GALLIVARE,2010,Man,120
NORRBOTTEN,HAPARANDA,2010,Kvinna,31
NORRBOTTEN,HAPARANDA,2010,Man,100
NORRBOTTEN,JOKKMOKK,2010,Kvinna,26
NORRBOTTEN,JOKKMOKK,2010,Man,52
NORRBOTTEN,KALIX,2010,Kvinna,53
NORRBOTTEN,KALIX,2010,Man,134
NORRBOTTEN,KIRUNA,2010,Kvinna,50
NORRBOTTEN,KIRUNA,2010,Man,122
NORRBOTTEN,LULEA,2010,Kvinna,219
